"Name","Option"
,"LARGE"
,"LARGE_VANILLA"
"ShopCycleHighlight","White"
,"Green"
,"None"
,"Gold"
"ShopCycleType","Spell"
,"Chest"
"ShopCycleResourceType","Gems"
,"Gold"
,"Auto"
"ShopCycleSpellRarity","Common"
,"Rare"
,"Epic"
,"Legendary"
"ShopCycleChest","Epic"
,"Legendary"
"BaseChestEnum","Silver"
,"Gold"
,"Giant"
,"Magic"
,"Legendary"
,"Super"
"ShopCycleItem_Types","SpecialChest"
,"Spell_Specific"
,"Spell_Rarity"
,"Chest"
,"Gems"
,"Gold"
,"Chest_CardTheme"
"ChallengeXPLevel","Noobies"
,"Experienced"
,"Everyone"
"QuestTypeEnum","PvE"
,"Daily"
,"Win"
,"Attack"
,"Cast"
,"Collect"
,"Donate"
"QuestDonateTypeEnum","Donate"
,"Request"
,"Receive"
"QuestGameTypeEnum","Ladder"
,"Tournament"
,"Friendly_Friend"
,"Friendly_Alliance"
,"Survival"
,"Trainer"
,"ClanWar"
"QuestPlayerTypeEnum","1v1"
,"2v2"
"QuestAttackTypeEnum","Hit"
,"Damage"
,"Destroy"
,"Touchdown"
"QuestBattleCounterTypeEnum","Games"
,"Wins"
,"Crowns"
"QuestCollectTypeEnum","Resource"
,"Chest"
,"Card"
"QuestCollectResourceEnum","Gold"
,"Diamonds"
"QuestCastCardTypeEnum","Building"
,"Character"
,"Spell"
"QuestRewardTypeEnum","Gold"
,"Gems"
,"Common"
,"Rare"
,"Epic"
,"FreeChest"
,"SilverChest"
"ArenaPacksEnum","StarterPackArena2"
,"StarterPackArena3"
,"StarterPackArena4"
,"StarterPackArena5"
,"StarterPackArena6"
,"StarterPackArena7"
,"StarterPackArena8"
,"StarterPackArena9"
,"StarterPackArenaL"
,"StarterPackArenaE"
,"StarterPackArenaT"
"QuestDonateRarityEnum","Common"
,"Rare"
,"Epic"
"LocationOverrideEnum","None"
,"PvP_ice_xmas"
,"TeamVsTeam_ice_xmas"
